Key ID,ID1,Number Correct,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30
B,345856,19,B,A,B,A,A,C,D,C,B,C,B,D,A,D,A,C,D,D,B,B,D,D,C,C,D,B,B,C,A,B
C,490011,12,E,A,E,A,B,A,E,B,C,A,A,C,B,C,C,A,D,B,D,A,C,A,B,C,D,C,D,C,C,D
B,517817,13,A,C,B,D,D,D,C,E,D,C,D,D,A,E,C,D,D,B,B,D,C,D,B,C,E,D,B,C,A,D
C,523330,15,A,A,D,B,D,B,C,B,C,E,A,C,E,E,D,B,B,B,B,B,B,D,C,C,D,C,B,B,C,B
C,547169,16,A,C,E,A,B,A,E,B,B,E,A,C,E,C,B,D,D,B,E,B,C,D,C,B,D,C,B,B,C,A
A,574404,13,C,D,C,A,B,A,D,C,B,B,C,B,C,B,A,D,D,E,B,C,C,E,C,D,E,B,B,C,D,B
C,576373,15,A,C,D,D,D,E,E,B,B,B,B,D,B,D,D,D,A,D,D,B,B,D,C,A,D,B,A,D,C,A
C,684403,21,C,C,C,D,D,D,C,B,B,A,A,D,E,E,C,C,D,A,D,B,B,D,C,B,D,C,B,B,C,A
B,694264,22,B,A,B,A,D,D,D,E,B,C,B,C,A,B,B,C,D,D,B,B,D,D,C,C,B,B,D,C,A,C
A,737921,6,A,C,D,B,E,A,B,D,E,D,B,A,B,D,A,D,D,A,A,C,C,E,D,C,B,D,A,C,A,D
C,754151,14,A,E,E,A,D,C,C,B,C,B,E,D,C,A,D,C,D,B,D,A,B,C,D,C,D,C,B,B,C,D
B,759215,6,C,A,B,E,C,C,A,E,D,C,C,C,A,C,E,E,D,B,A,B,C,D,E,E,B,C,C,C,A,E
A,775232,11,B,E,D,B,C,C,D,C,A,E,B,B,B,E,C,C,D,D,A,D,B,A,C,D,B,B,E,C,A,C
C,778750,16,C,C,B,E,D,D,E,C,B,E,B,C,E,A,D,C,D,A,D,B,B,D,C,C,D,C,C,B,C,A
B,790131,20,E,C,B,A,C,D,D,D,A,D,B,C,A,B,A,C,D,D,B,B,A,D,C,C,B,B,B,C,A,C
A,792916,12,B,A,B,A,E,C,D,E,B,B,D,B,B,B,B,A,D,B,B,B,C,B,C,D,B,B,C,C,B,A
B,808147,14,B,D,C,A,B,B,B,A,C,C,B,C,B,B,E,B,D,A,B,B,D,D,D,C,B,B,B,C,A,D
C,833771,13,C,B,B,A,A,B,E,C,B,A,A,C,D,C,D,C,D,B,A,B,B,C,C,B,A,C,B,B,C,D
A,871988,7,B,B,A,A,E,A,D,E,B,B,C,B,C,D,C,C,A,B,A,C,C,B,B,D,A,C,E,C,B,D
A,873290,13,C,E,D,D,D,A,A,C,B,B,C,B,C,B,E,B,D,B,B,B,A,C,B,D,B,C,B,C,A,B
C,888543,8,C,B,A,A,C,C,D,C,A,A,B,C,D,C,B,C,B,E,B,C,B,D,A,C,D,E,B,C,C,D
C,891883,12,A,D,B,D,A,B,B,B,B,A,B,C,B,A,D,C,C,B,D,B,B,C,A,C,A,E,C,C,C,D
B,895473,14,A,D,C,B,B,C,D,C,B,C,B,C,B,B,E,B,D,B,B,C,D,D,B,C,B,B,C,C,A,E
C,896290,17,A,B,B,B,D,E,C,C,B,D,A,C,B,E,C,C,D,B,B,B,C,D,C,C,D,C,B,B,C,C
A,910945,15,B,E,D,A,D,A,C,C,B,C,D,C,D,E,B,D,B,D,A,C,C,E,C,D,B,B,C,C,A,C
C,924739,13,C,D,B,E,A,B,E,C,B,A,B,D,B,A,C,C,C,C,D,B,B,D,C,C,D,B,A,C,C,A
C,928878,19,D,C,B,A,B,B,C,C,C,A,A,D,B,B,D,C,D,B,D,B,C,C,C,C,A,A,B,B,C,C
B,934216,12,A,D,C,B,E,A,C,B,C,D,E,C,B,B,A,C,D,C,B,B,D,B,D,D,B,B,B,C,A,D
B,934915,14,D,A,A,E,C,D,D,C,D,C,B,C,A,E,C,D,D,D,B,C,E,D,C,C,B,C,C,C,A,D
A,958268,17,D,C,C,D,A,A,D,C,C,B,C,A,D,E,E,D,D,B,B,B,B,C,C,C,A,B,B,C,A,C
A,964444,14,D,A,B,B,E,E,B,C,C,B,E,A,C,D,C,C,D,E,B,C,A,C,C,D,B,B,A,C,E,A
A,977589,16,D,B,C,D,C,B,D,C,C,B,C,A,D,E,A,B,D,B,B,C,C,B,B,D,E,C,B,C,A,C
C,977963,13,BLANK,C,C,C,D,C,E,A,D,B,A,B,D,B,A,B,D,D,D,B,C,C,B,C,D,C,B,BLANK,C,A
A,982244,14,D,E,D,D,A,A,D,C,B,C,D,D,C,B,C,D,D,B,A,C,D,A,A,D,C,B,B,C,D,D
C,986455,10,E,C,E,A,C,D,A,A,C,B,A,D,E,E,A,B,D,E,A,A,B,C,C,C,D,B,A,C,C,C
A,994114,9,E,B,D,E,A,C,A,C,B,A,C,B,B,E,D,E,D,E,B,B,B,E,B,A,A,C,B,C,A,E
B,997376,13,E,B,C,A,D,D,D,C,C,D,B,D,B,B,A,D,C,D,A,B,C,D,D,D,C,A,B,C,A,A
A,997908,16,D,E,B,C,E,D,D,E,D,B,E,B,D,B,D,C,D,D,B,B,A,C,C,D,C,B,B,C,A,B
B,1012960,19,C,C,E,A,D,C,E,E,B,D,C,E,A,B,B,C,A,B,B,C,D,D,E,C,B,D,B,C,A,C
A,1014825,24,D,D,C,D,A,A,D,C,B,B,D,A,D,E,B,B,D,D,B,B,D,C,C,D,B,B,B,C,A,C
B,1016534,9,D,D,B,C,A,C,B,C,B,B,A,A,E,B,C,D,B,B,B,B,A,D,E,B,B,E,B,C,E,C
A,1022282,18,B,E,A,D,A,A,C,C,D,C,E,E,C,B,A,C,D,D,B,B,D,C,B,D,B,B,B,C,A,C
C,1023372,15,E,D,B,A,D,B,C,B,C,A,A,B,C,B,D,D,D,B,C,A,B,C,E,C,D,C,B,B,C,A
B,1024952,24,B,B,B,A,C,C,C,C,B,D,B,D,A,B,D,B,D,D,B,C,D,D,C,C,B,B,B,C,A,C
C,1028207,15,C,D,D,B,D,B,C,C,B,D,A,D,B,C,A,C,D,B,D,B,B,C,E,C,D,E,A,B,C,D
B,1035199,15,D,D,D,C,A,D,D,C,C,D,C,D,D,B,B,C,B,B,B,C,C,D,C,D,A,B,B,C,C,B
B,1063699,10,E,B,A,E,E,B,E,E,B,B,D,C,A,E,D,D,D,A,B,D,D,D,E,C,B,C,B,B,A,D
A,1036964,15,D,E,C,A,D,A,C,E,B,B,C,A,C,B,D,B,D,E,B,B,D,A,C,D,A,C,B,C,A,E
B,1038679,13,D,B,A,C,B,B,B,C,C,C,D,D,B,B,A,D,C,D,A,B,D,D,C,C,B,D,B,C,A,C
C,1039827,22,E,C,D,A,C,E,C,A,B,E,A,D,B,A,D,C,B,B,E,B,C,D,C,C,D,C,B,B,C,A
A,1039936,14,D,C,A,D,A,D,D,E,B,C,C,A,C,B,B,C,B,B,A,B,C,E,C,D,B,B,E,C,C,B
B,1043694,19,B,A,D,A,C,C,C,E,B,C,B,D,A,B,B,C,D,B,B,C,A,D,C,C,A,A,D,C,A,B
A,1047765,7,B,D,A,B,E,C,D,E,B,E,B,A,C,B,A,A,C,D,B,B,A,C,B,A,C,C,A,C,B,A
B,1065569,17,C,C,B,D,A,D,D,C,C,D,B,D,A,D,A,C,D,D,B,C,B,D,C,B,A,B,D,C,A,D
A,1068669,28,D,C,C,D,A,D,D,C,B,B,D,A,D,B,B,C,D,D,B,C,D,C,C,D,B,B,B,C,A,C
A,1070102,10,D,B,A,D,E,A,B,C,B,C,B,E,C,D,A,C,D,B,C,B,D,D,C,A,A,C,C,C,E,A
A,,,D,B,C,D,A,D,C,C,B,B,D,A,D,B,B,C,D,D,B,C,D,C,C,D,B,B,B,C,A,C
B,,,B,C,D,A,D,D,C,C,B,D,B,D,A,B,B,C,D,D,B,C,D,D,C,C,B,B,B,C,A,C
C,,,B,C,D,D,C,D,C,B,B,A,A,D,B,B,D,C,D,B,D,B,C,D,C,C,D,C,B,B,C,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
B,,,2,3,4,5,6,1,7,8,10,13,9,11,12,14,15,16,17,19,20,21,22,24,23,25,27,28,18,29,30,26
C,,,2,3,4,6,7,1,8,9,10,5,12,13,14,15,11,16,17,18,19,20,21,22,23,25,24,26,27,28,29,30
